SampleID	Compartment	host_common_name	Methanogen	Methanotroph	ratio
Arw.21	Endosphere	Sedge	0	0.029684908789386403	0
Arw.23	Endosphere	Sedge	0	0.002799253532391362	0
Arw.28	Endosphere	Mudplantain	0	0.023402068089738163	0
Arw.25	Endosphere	Mudplantain	1.7908630168878383e-4	0.104550582925912	0.0017129153819801302
Arw.26	Endosphere	Mudplantain	1.4309222293768333e-4	0.08124060957286972	0.0017613386173491853
Arw.34	Endosphere	Redstem	5.312084993359894e-5	0.028525896414342628	0.00186219739292365
Arw.19	Endosphere	Sedge	1.3996780740429702e-4	0.04139547903982084	0.00338123415046492
Arw.29	Endosphere	Mudplantain	6.277463904582549e-5	0.015881983678593847	0.003952569169960475
Arw.32	Endosphere	Redstem	5.20032068644233e-4	0.09746267686507334	0.005335704757670075
Arw.33	Endosphere	Redstem	5.339598462195643e-4	0.09059518724191941	0.005893909626719058
Arw.27	Endosphere	Mudplantain	7.915927391838406e-4	0.13058550566398253	0.006061872909698997
Arw.35	Endosphere	Sedge	0.00020359687818120121	0.024024431625381745	0.00847457627118644
Arw.36	Endosphere	Redstem	8.432271991365354e-4	0.058115218564490013	0.014509576320371446
Arw.30	Endosphere	Mudplantain	1.0320982557539478e-4	0.005315306017132831	0.01941747572815534
Arw.20	Endosphere	Sedge	3.2135970863386416e-4	0.010283510676283653	0.03125
Arw.31	Endosphere	Redstem	0.001544069255302992	0.04704348706525591	0.03282216841538876
Arw.7	Rhizosphere	Mudplantain	0.003228194267384957	0.08510507052679196	0.03793186760086977
Arw.41	Endosphere	Rice	0.007214241761972459	0.16664898470156378	0.043290043290043295
Arw.8	Rhizosphere	Mudplantain	0.0024428237626566594	0.047369539049776956	0.0515695067264574
Arw.5	Rhizosphere	Sedge	0.0016741468974852175	0.021585808933532808	0.07755775577557754
Arw.9	Rhizosphere	Mudplantain	0.003436847919479563	0.04386072582954871	0.07835820895522388
Arw.24	Endosphere	Redstem	2.5352214697041035e-4	0.0027525261671073123	0.09210526315789473
Arw.14	Rhizosphere	Redstem	0.0037147102526002974	0.03574862337208286	0.1039119804400978
Arw.15	Rhizosphere	Redstem	0.00425589713406076	0.03717118667089238	0.11449451887941535
Arw.4	Rhizosphere	Sedge	0.0011103708638685321	0.008438818565400845	0.13157894736842105
Arw.10	Rhizosphere	Mudplantain	0.0025086839058278657	0.01659590891547665	0.15116279069767444
Arw.11	Rhizosphere	Mudplantain	0.002606626119149258	0.015866419855691136	0.16428571428571428
Arw.13	Rhizosphere	Redstem	0.0052596389569868505	0.031602406953420994	0.16643159379407615
Arw.1	Rhizosphere	Sedge	0.0030309685921370527	0.012914561827366573	0.2346938775510204
Arw.2	Rhizosphere	Sedge	0.002655102221435525	0.011062925922648022	0.24
Arw.12	Rhizosphere	Mudplantain	0.0022641509433962265	0.006752730883813307	0.33529411764705885
Arw.3	Rhizosphere	Sedge	0.004324881958497004	0.011665277943102011	0.37074829931972786
Arw.6	Rhizosphere	Sedge	0.0017178850925749188	0.004466501240694789	0.3846153846153846
Arw.16	Rhizosphere	Redstem	0.0027141250823930828	0.006862859136908224	0.39548022598870053
Arw.42	Endosphere	Rice	0.013486082918555183	0.025971137001918637	0.5192719486081371
Arw.18	Rhizosphere	Redstem	0.004963447479799923	0.006964217006540977	0.7127071823204421
Arw.17	Rhizosphere	Redstem	0.00399947832891362	0.005042820501673695	0.7931034482758621
Arw.46	Bulk Soil	Soil	0.012249511241446725	0.003360215053763441	3.645454545454545
Arw.43	Endosphere	Rice	0.06877093986951155	0.016663727737612415	4.1269841269841265
Ark.584	Bulk Soil	Soil	0.013393924898349677	0.002830263892210795	4.732394366197183
Ark.590	Bulk Soil	Soil	0.007031997669870595	0.001206674156368327	5.827586206896552
Arw.38	Rhizosphere	Rice	0.013099514050285232	0.0017506263016510218	7.482758620689656
Arw.40	Rhizosphere	Rice	0.016272582359192347	0.001892933049946865	8.596491228070175
Arw.39	Rhizosphere	Rice	0.01239645815481291	0.0013424735789774348	9.23404255319149
Arw.37	Rhizosphere	Rice	0.01928729390028833	0.0018195560283290877	10.6
Ark.582	Bulk Soil	Soil	0.011513572569123456	0.0010084881082443903	11.416666666666666
Ark.591	Bulk Soil	Soil	0.00765181194906954	6.427522037218414e-4	11.904761904761903
Ark.586	Bulk Soil	Soil	0.006862900666455093	5.553792446842272e-4	12.357142857142856
Arw.45	Bulk Soil	Soil	0.011096664953285157	8.768481843195356e-4	12.655172413793103
Ark.577	Bulk Soil	Soil	0.011724944754972053	8.839204471597557e-4	13.26470588235294
Ark.583	Bulk Soil	Soil	0.01845451800154347	0.0012750394255611852	14.473684210526315
Ark.579	Bulk Soil	Soil	0.012867647058823529	8.223684210526316e-4	15.64705882352941
Ark.580	Bulk Soil	Soil	0.010840311004784688	5.980861244019139e-4	18.125
Ark.585	Bulk Soil	Soil	0.015035526014210406	5.959202383680953e-4	25.23076923076923
Ark.587	Bulk Soil	Soil	0.009862158251465997	3.80778310867413e-4	25.9
Ark.578	Bulk Soil	Soil	0.012897644606975739	4.325429593802839e-4	29.81818181818182
Ark.588	Bulk Soil	Soil	0.008736527230425905	2.8488675751388824e-4	30.666666666666664
Arw.44	Endosphere	Rice	0.1594751792235899	0.004666576491275531	34.17391304347826
